,Bitcoin Price,Gold Price,Market,Risk Free Rate
2016-04-21,452.25,,2091.48,
2016-04-22,448.41,,2091.58,
2016-04-23,455.69,,,
2016-04-24,464.46,,,
2016-04-25,466.17,,2087.79,
2016-04-26,470.59,,2091.7,
2016-04-27,445.31,,2095.15,
2016-04-28,451.68,,2075.81,
2016-04-29,458.82,,2065.3,
2016-04-30,454.02,,,
2016-05-01,456.98,465.7,,0.27
2016-05-02,446.42,,2081.43,
2016-05-03,452.21,,2063.37,
2016-05-04,448.68,,2051.12,
2016-05-05,449.98,,2050.63,
2016-05-06,462.31,,2057.14,
2016-05-07,461.91,,,
2016-05-08,462.79,,,
2016-05-09,464.16,,2058.69,
2016-05-10,452.78,,2084.39,
2016-05-11,454.37,,2064.46,
2016-05-12,456.48,,2064.11,
2016-05-13,457.98,,2046.61,
2016-05-14,458.9,,,
2016-05-15,461.47,,,
2016-05-16,455.66,,2066.66,
2016-05-17,454.19,,2047.21,
2016-05-18,455.56,,2047.63,
2016-05-19,438.38,,2040.04,
2016-05-20,445.65,,2052.32,
2016-05-21,446.28,,,
2016-05-22,442.48,,,
2016-05-23,445.67,,2048.04,
2016-05-24,446.99,,2076.06,
2016-05-25,451.49,,2090.54,
2016-05-26,454.97,,2090.1,
2016-05-27,471.27,,2099.06,
2016-05-28,523.25,,,
2016-05-29,525.22,,,
2016-05-30,532.55,,,
2016-05-31,531.34,,2096.96,
2016-06-01,534.84,441.3,2099.33,0.27
2016-06-02,537.87,,2105.26,
2016-06-03,571.25,,2099.13,
2016-06-04,576.31,,,
2016-06-05,575.17,,,
2016-06-06,586.77,,2109.41,
2016-06-07,579.71,,2112.13,
2016-06-08,583.21,,2119.12,
2016-06-09,577.46,,2115.48,
2016-06-10,580.31,,2096.07,
2016-06-11,609.5,,,
2016-06-12,677.86,,,
2016-06-13,706.01,,2079.06,
2016-06-14,684.95,,2075.32,
2016-06-15,698.78,,2071.5,
2016-06-16,769.76,,2077.99,
2016-06-17,752.26,,2071.22,
2016-06-18,758.99,,,
2016-06-19,768.76,,,
2016-06-20,703.12,,2083.25,
2016-06-21,667.66,,2088.9,
2016-06-22,604.5,,2085.45,
2016-06-23,631.1,,2113.32,
2016-06-24,669.98,,2037.41,
2016-06-25,673.71,,,
2016-06-26,638.56,,,
2016-06-27,657.87,,2000.54,
2016-06-28,648.43,,2036.09,
2016-06-29,639.42,,2070.77,
2016-06-30,673.49,,2098.86,
2016-07-01,678.19,490.7,2102.95,0.3
2016-07-02,704.95,,,
2016-07-03,663.55,,,
2016-07-04,681.98,,,
2016-07-05,669.87,,2088.55,
2016-07-06,678.79,,2099.73,
2016-07-07,641.97,,2097.9,
2016-07-08,667.33,,2129.9,
2016-07-09,657.61,,,
2016-07-10,652.44,,,
2016-07-11,650.97,,2137.16,
2016-07-12,666.56,,2152.14,
2016-07-13,655.34,,2152.43,
2016-07-14,661.65,,2163.75,
2016-07-15,667.48,,2161.74,
2016-07-16,666.32,,,
2016-07-17,680.0,,,
2016-07-18,675.5,,2166.89,
2016-07-19,673.98,,2163.78,
2016-07-20,666.92,,2173.02,
2016-07-21,667.28,,2165.17,
2016-07-22,654.67,,2175.03,
2016-07-23,657.5,,,
2016-07-24,661.0,,,
2016-07-25,657.79,,2168.48,
2016-07-26,654.06,,2169.18,
2016-07-27,657.35,,2166.58,
2016-07-28,657.4,,2170.06,
2016-07-29,657.0,,2173.6,
2016-07-30,655.87,,,
2016-07-31,626.97,,,
2016-08-01,605.2,490.1,2170.84,0.3
2016-08-02,537.47,,2157.03,
2016-08-03,573.36,,2163.79,
2016-08-04,587.5,,2164.25,
2016-08-05,583.0,,2182.87,
2016-08-06,591.71,,,
2016-08-07,595.14,,,
2016-08-08,591.48,,2180.89,
2016-08-09,586.45,,2181.74,
2016-08-10,594.94,,2175.49,
2016-08-11,587.91,,2185.79,
2016-08-12,587.74,,2184.05,
2016-08-13,586.45,,,
2016-08-14,574.99,,,
2016-08-15,567.79,,2190.15,
2016-08-16,579.02,,2178.15,
2016-08-17,574.45,,2182.22,
2016-08-18,574.09,,2187.02,
2016-08-19,573.67,,2183.87,
2016-08-20,581.87,,,
2016-08-21,581.29,,,
2016-08-22,585.2,,2182.64,
2016-08-23,582.39,,2186.9,
2016-08-24,578.47,,2175.44,
2016-08-25,575.58,,2172.47,
2016-08-26,579.29,,2169.04,
2016-08-27,570.84,,,
2016-08-28,575.41,,,
2016-08-29,573.21,,2180.38,
2016-08-30,574.95,,2176.12,
2016-08-31,572.89,,2170.95,
2016-09-01,573.02,484.6,2170.86,0.29
2016-09-02,576.21,,2179.98,
2016-09-03,600.91,,,
2016-09-04,611.92,,,
2016-09-05,605.69,,,
2016-09-06,612.99,,2186.48,
2016-09-07,615.21,,2186.16,
2016-09-08,627.97,,2181.3,
2016-09-09,622.07,,2127.81,
2016-09-10,623.74,,,
2016-09-11,607.94,,,
2016-09-12,606.74,,2159.04,
2016-09-13,608.63,,2127.02,
2016-09-14,608.43,,2125.77,
2016-09-15,605.44,,2147.26,
2016-09-16,607.93,,2139.16,
2016-09-17,607.92,,,
2016-09-18,611.4,,,
2016-09-19,608.6,,2139.12,
2016-09-20,605.6,,2139.76,
2016-09-21,597.0,,2163.12,
2016-09-22,596.21,,2177.18,
2016-09-23,602.96,,2164.69,
2016-09-24,603.68,,,
2016-09-25,601.67,,,
2016-09-26,607.08,,2146.1,
2016-09-27,605.71,,2159.93,
2016-09-28,605.04,,2171.37,
2016-09-29,605.99,,2151.13,
2016-09-30,608.99,,2168.27,
2016-10-01,615.65,461.2,,0.33
2016-10-02,612.4,,,
2016-10-03,612.99,,2161.2,
2016-10-04,610.34,,2150.49,
2016-10-05,613.16,,2159.73,
2016-10-06,611.88,,2160.77,
2016-10-07,617.98,,2153.74,
2016-10-08,619.5,,,
2016-10-09,617.42,,,
2016-10-10,618.72,,2163.66,
2016-10-11,642.12,,2136.73,
2016-10-12,635.79,,2139.18,
2016-10-13,635.66,,2132.55,
2016-10-14,638.03,,2132.98,
2016-10-15,638.16,,,
2016-10-16,641.92,,,
2016-10-17,639.56,,2126.5,
2016-10-18,635.11,,2139.6,
2016-10-19,629.79,,2144.29,
2016-10-20,628.05,,2141.34,
2016-10-21,630.83,,2141.16,
2016-10-22,652.75,,,
2016-10-23,651.04,,,
2016-10-24,649.98,,2151.33,
